,Response_ID,Respondent_ID,Consume_frequency,Consume_time,Consume_reason,Heard_before,Brand_perception,General_perception,Tried_before,Taste_experience,Reasons_preventing_trying,Current_brands,Reasons_for_choosing_brands,Improvements_desired,Ingredients_expected,Health_concerns,Interest_in_natural_or_organic,Marketing_channels,Packaging_preference,Limited_edition_packaging,Price_range,Purchase_location,Typical_consumption_situations
330,103331,120361,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Effective,Yes,3,Unfamiliar with the brand,CodeX,Availability,Healthier alternatives,Caffeine,Yes,No,TV commercials,Collectible packaging,Not Sure,50-99,Gyms and fitness centers,Studying/working late
331,103332,120362,2-3 times a week,To stay awake during work/study,To boost performance,No,Neutral,Not sure,No,2,Not interested in energy drinks,Sky 9,Taste/flavor preference,Healthier alternatives,Caffeine,Yes,Not Sure,TV commercials,Eco-friendly design,Yes,Below 50,Supermarkets,Studying/working late
332,103333,120363,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Positive,Dangerous,Yes,5,Other,Bepsi,Taste/flavor preference,More natural ingredients,Caffeine,Yes,Not Sure,Online ads,Compact and portable cans,Not Sure,50-99,Online retailers,Studying/working late
333,103334,120364,Rarely,Throughout the day,To boost performance,No,Negative,Dangerous,Yes,2,Other,Bepsi,Effectiveness,Reduced sugar content,Caffeine,Yes,Not Sure,Print media,Innovative bottle design,Yes,100-150,Online retailers,Other
334,103335,120365,Once a week,For mental alertness,Increased energy and focus,Yes,Neutral,Healthy,No,3,Not available locally,Gangster,Availability,Other,Guarana,Yes,Yes,Online ads,Innovative bottle design,Not Sure,50-99,Gyms and fitness centers,Sports/exercise
335,103336,120366,Rarely,Before exercise,Increased energy and focus,No,Positive,Effective,Yes,4,Unfamiliar with the brand,Bepsi,Availability,Wider range of flavors,Caffeine,No,Yes,Online ads,Collectible packaging,Not Sure,100-150,Online retailers,Studying/working late
336,103337,120367,2-3 times a week,Before exercise,Increased energy and focus,No,Neutral,Not sure,No,5,Health concerns,Cola-Coka,Effectiveness,Wider range of flavors,Sugar,No,Yes,Print media,Collectible packaging,Yes,50-99,Supermarkets,Sports/exercise
337,103338,120368,Once a week,Throughout the day,Increased energy and focus,No,Neutral,Healthy,No,4,Health concerns,Cola-Coka,Taste/flavor preference,More natural ingredients,Vitamins,No,Yes,TV commercials,Innovative bottle design,No,100-150,Supermarkets,Social outings/parties
338,103339,120369,Daily,To stay awake during work/study,Increased energy and focus,No,Negative,Effective,No,4,Not available locally,Cola-Coka,Availability,Wider range of flavors,Guarana,Yes,Yes,TV commercials,Compact and portable cans,Yes,Below 50,Gyms and fitness centers,Social outings/parties
339,103340,120370,2-3 times a week,To stay awake during work/study,To enhance sports performance,No,Negative,Healthy,No,1,Not interested in energy drinks,Cola-Coka,Effectiveness,Reduced sugar content,Vitamins,Yes,No,TV commercials,Collectible packaging,Yes,100-150,Local stores,Studying/working late
340,103341,120371,2-3 times a week,Before exercise,To boost performance,Yes,Positive,Not sure,Yes,1,Unfamiliar with the brand,Cola-Coka,Other,Wider range of flavors,Guarana,Yes,Yes,Other,Eco-friendly design,No,Below 50,Supermarkets,Social outings/parties
341,103342,120372,2-3 times a month,Throughout the day,To enhance sports performance,No,Neutral,Dangerous,Yes,3,Other,Cola-Coka,Brand reputation,Reduced sugar content,Caffeine,Yes,Not Sure,Online ads,Eco-friendly design,Yes,50-99,Gyms and fitness centers,Sports/exercise
342,103343,120373,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Neutral,Healthy,Yes,2,Health concerns,Gangster,Availability,Wider range of flavors,Caffeine,Yes,Yes,Online ads,Eco-friendly design,No,100-150,Supermarkets,Sports/exercise
343,103344,120374,2-3 times a month,For mental alertness,To combat fatigue,No,Positive,Healthy,Yes,1,Not available locally,Sky 9,Effectiveness,Reduced sugar content,Sugar,Yes,Yes,Online ads,Collectible packaging,No,Above 150,Online retailers,Sports/exercise
344,103345,120375,Daily,Before exercise,To combat fatigue,No,Neutral,Dangerous,No,1,Health concerns,Gangster,Taste/flavor preference,Reduced sugar content,Guarana,Yes,Yes,Online ads,Collectible packaging,No,50-99,Gyms and fitness centers,Sports/exercise
345,103346,120376,2-3 times a week,For mental alertness,Increased energy and focus,Yes,Neutral,Dangerous,Yes,5,Not interested in energy drinks,Cola-Coka,Brand reputation,Reduced sugar content,Caffeine,Yes,Yes,Print media,Innovative bottle design,No,100-150,Supermarkets,Social outings/parties
346,103347,120377,Rarely,Before exercise,Increased energy and focus,No,Neutral,Effective,Yes,4,Not interested in energy drinks,Sky 9,Availability,Healthier alternatives,Caffeine,Yes,Not Sure,Online ads,Compact and portable cans,No,Above 150,Gyms and fitness centers,Sports/exercise
347,103348,120378,Daily,Before exercise,To boost performance,No,Neutral,Effective,Yes,2,Unfamiliar with the brand,Cola-Coka,Taste/flavor preference,Other,Vitamins,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Gyms and fitness centers,Sports/exercise
348,103349,120379,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Not sure,Yes,2,Other,Gangster,Taste/flavor preference,Reduced sugar content,Vitamins,Yes,No,Online ads,Compact and portable cans,No,Above 150,Gyms and fitness centers,Studying/working late
349,103350,120380,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Positive,Not sure,No,3,Health concerns,Cola-Coka,Effectiveness,Other,Caffeine,Yes,No,TV commercials,Compact and portable cans,Yes,100-150,Supermarkets,Studying/working late
350,103351,120381,Once a week,For mental alertness,To boost performance,No,Neutral,Dangerous,No,3,Not available locally,Sky 9,Availability,Other,Guarana,Yes,No,Online ads,Innovative bottle design,No,Above 150,Gyms and fitness centers,Sports/exercise
351,103352,120382,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Neutral,Effective,No,5,Not available locally,Bepsi,Effectiveness,Other,Guarana,No,Yes,Online ads,Collectible packaging,Yes,100-150,Online retailers,Sports/exercise
352,103353,120383,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Positive,Healthy,No,1,Not interested in energy drinks,Gangster,Effectiveness,Other,Vitamins,No,Yes,Online ads,Innovative bottle design,Yes,50-99,Online retailers,Sports/exercise
353,103354,120384,2-3 times a week,Before exercise,To combat fatigue,No,Neutral,Effective,Yes,4,Health concerns,Bepsi,Other,Wider range of flavors,Caffeine,Yes,Yes,Outdoor billboards,Compact and portable cans,Not Sure,Above 150,Online retailers,Studying/working late
354,103355,120385,Daily,Throughout the day,Increased energy and focus,No,Neutral,Not sure,No,4,Not interested in energy drinks,Gangster,Taste/flavor preference,More natural ingredients,Caffeine,No,Yes,Online ads,Compact and portable cans,No,100-150,Online retailers,Studying/working late
355,103356,120386,2-3 times a month,To stay awake during work/study,Increased energy and focus,Yes,Negative,Not sure,No,2,Unfamiliar with the brand,Cola-Coka,Brand reputation,Wider range of flavors,Guarana,No,Yes,Online ads,Compact and portable cans,Yes,Above 150,Other,Studying/working late
356,103357,120387,2-3 times a week,For mental alertness,Increased energy and focus,No,Neutral,Not sure,No,1,Not interested in energy drinks,Blue Bull,Brand reputation,Wider range of flavors,Vitamins,Yes,Not Sure,TV commercials,Compact and portable cans,No,50-99,Online retailers,Social outings/parties
357,103358,120388,Daily,To stay awake during work/study,Increased energy and focus,Yes,Positive,Effective,No,4,Unfamiliar with the brand,Gangster,Taste/flavor preference,Healthier alternatives,Vitamins,No,No,Online ads,Compact and portable cans,Not Sure,100-150,Supermarkets,Studying/working late
358,103359,120389,Once a week,Before exercise,To boost performance,Yes,Negative,Effective,Yes,2,Unfamiliar with the brand,CodeX,Other,More natural ingredients,Caffeine,Yes,Yes,Online ads,Innovative bottle design,Yes,50-99,Gyms and fitness centers,Sports/exercise
359,103360,120390,2-3 times a month,To stay awake during work/study,To combat fatigue,No,Negative,Not sure,Yes,5,Not interested in energy drinks,Cola-Coka,Brand reputation,Reduced sugar content,Caffeine,Yes,No,Other,Collectible packaging,No,50-99,Supermarkets,Studying/working late
360,103361,120391,Daily,To stay awake during work/study,Other,No,Neutral,Dangerous,Yes,3,Not interested in energy drinks,Bepsi,Availability,Wider range of flavors,Caffeine,No,Yes,Other,Innovative bottle design,Not Sure,100-150,Supermarkets,Studying/working late
361,103362,120392,Once a week,Before exercise,To combat fatigue,No,Positive,Healthy,Yes,5,Not available locally,Gangster,Effectiveness,Reduced sugar content,Guarana,Yes,No,TV commercials,Collectible packaging,Not Sure,50-99,Supermarkets,Studying/working late
362,103363,120393,2-3 times a month,Throughout the day,To combat fatigue,Yes,Neutral,Not sure,No,5,Health concerns,Bepsi,Brand reputation,Reduced sugar content,Sugar,Yes,Yes,Online ads,Innovative bottle design,Not Sure,Below 50,Online retailers,Sports/exercise
363,103364,120394,2-3 times a week,For mental alertness,To combat fatigue,No,Positive,Effective,No,3,Health concerns,Bepsi,Effectiveness,Wider range of flavors,Caffeine,Yes,No,TV commercials,Collectible packaging,No,Below 50,Online retailers,Social outings/parties
364,103365,120395,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Neutral,Healthy,No,1,Not available locally,Gangster,Taste/flavor preference,Healthier alternatives,Caffeine,Yes,Yes,Online ads,Innovative bottle design,Not Sure,50-99,Supermarkets,Social outings/parties
365,103366,120396,2-3 times a week,For mental alertness,Increased energy and focus,Yes,Neutral,Healthy,No,4,Health concerns,Bepsi,Availability,Healthier alternatives,Sugar,Yes,No,Outdoor billboards,Innovative bottle design,Not Sure,50-99,Supermarkets,Studying/working late
366,103367,120397,Daily,Before exercise,Increased energy and focus,No,Neutral,Not sure,No,2,Health concerns,CodeX,Availability,Reduced sugar content,Caffeine,Yes,Yes,TV commercials,Compact and portable cans,Not Sure,100-150,Online retailers,Sports/exercise
367,103368,120398,2-3 times a month,Throughout the day,Other,Yes,Positive,Dangerous,Yes,3,Not available locally,Others,Effectiveness,Wider range of flavors,Sugar,Yes,Not Sure,Online ads,Compact and portable cans,Not Sure,Above 150,Online retailers,Sports/exercise
368,103369,120399,Rarely,Before exercise,Other,Yes,Neutral,Not sure,Yes,5,Health concerns,Bepsi,Effectiveness,Reduced sugar content,Guarana,Yes,Yes,Other,Innovative bottle design,No,Above 150,Gyms and fitness centers,Sports/exercise
369,103370,120400,Rarely,To stay awake during work/study,To enhance sports performance,No,Neutral,Not sure,Yes,3,Not available locally,Sky 9,Effectiveness,Wider range of flavors,Vitamins,Yes,Yes,Outdoor billboards,Innovative bottle design,Yes,100-150,Supermarkets,Sports/exercise
370,103371,120401,Daily,Before exercise,To combat fatigue,No,Negative,Healthy,No,2,Not available locally,Others,Availability,Reduced sugar content,Caffeine,Yes,No,Other,Compact and portable cans,Yes,Above 150,Supermarkets,Studying/working late
371,103372,120402,Rarely,Before exercise,To combat fatigue,No,Neutral,Healthy,Yes,3,Not available locally,Cola-Coka,Availability,Healthier alternatives,Sugar,Yes,Yes,Online ads,Compact and portable cans,Yes,100-150,Online retailers,Studying/working late
372,103373,120403,Rarely,To stay awake during work/study,To enhance sports performance,Yes,Neutral,Not sure,Yes,3,Not available locally,Gangster,Taste/flavor preference,Reduced sugar content,Sugar,Yes,No,TV commercials,Innovative bottle design,No,50-99,Online retailers,Sports/exercise
373,103374,120404,Rarely,For mental alertness,Increased energy and focus,No,Neutral,Dangerous,No,4,Not interested in energy drinks,Cola-Coka,Other,Healthier alternatives,Guarana,Yes,Yes,Online ads,Collectible packaging,Yes,Above 150,Supermarkets,Sports/exercise
374,103375,120405,Once a week,Throughout the day,To boost performance,No,Neutral,Not sure,Yes,5,Not available locally,Cola-Coka,Brand reputation,More natural ingredients,Caffeine,Yes,Yes,Outdoor billboards,Compact and portable cans,Yes,50-99,Local stores,Social outings/parties
375,103376,120406,Daily,To stay awake during work/study,To boost performance,Yes,Positive,Not sure,No,4,Other,Cola-Coka,Taste/flavor preference,Healthier alternatives,Caffeine,No,No,Print media,Other,Not Sure,Below 50,Online retailers,Sports/exercise
376,103377,120407,Daily,Before exercise,Other,Yes,Neutral,Dangerous,No,2,Not available locally,Gangster,Availability,Wider range of flavors,Vitamins,Yes,No,TV commercials,Eco-friendly design,No,Above 150,Supermarkets,Studying/working late
377,103378,120408,2-3 times a month,To stay awake during work/study,To combat fatigue,Yes,Positive,Dangerous,Yes,4,Not available locally,Cola-Coka,Other,Wider range of flavors,Vitamins,No,Not Sure,TV commercials,Compact and portable cans,Yes,50-99,Other,Studying/working late
378,103379,120409,2-3 times a week,For mental alertness,Increased energy and focus,No,Positive,Effective,Yes,4,Other,Cola-Coka,Other,Wider range of flavors,Sugar,Yes,No,Other,Innovative bottle design,Yes,50-99,Gyms and fitness centers,Studying/working late
379,103380,120410,Daily,To stay awake during work/study,To enhance sports performance,Yes,Neutral,Effective,No,1,Not available locally,Bepsi,Other,More natural ingredients,Sugar,No,Yes,Online ads,Other,No,50-99,Online retailers,Social outings/parties
380,103381,120411,2-3 times a month,Before exercise,To boost performance,No,Neutral,Dangerous,Yes,2,Not available locally,Blue Bull,Brand reputation,Wider range of flavors,Caffeine,Yes,Not Sure,Print media,Collectible packaging,Yes,100-150,Supermarkets,Sports/exercise
381,103382,120412,2-3 times a week,To stay awake during work/study,To boost performance,Yes,Neutral,Dangerous,Yes,4,Other,Gangster,Effectiveness,Wider range of flavors,Vitamins,Yes,No,Online ads,Collectible packaging,No,Above 150,Supermarkets,Sports/exercise
382,103383,120413,Rarely,To stay awake during work/study,Increased energy and focus,No,Negative,Effective,Yes,3,Not interested in energy drinks,Sky 9,Effectiveness,More natural ingredients,Caffeine,No,No,TV commercials,Innovative bottle design,Yes,50-99,Gyms and fitness centers,Social outings/parties
383,103384,120414,2-3 times a week,To stay awake during work/study,To boost performance,No,Neutral,Effective,No,4,Not available locally,Gangster,Brand reputation,More natural ingredients,Vitamins,No,Yes,Outdoor billboards,Collectible packaging,Not Sure,100-150,Local stores,Studying/working late
384,103385,120415,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Negative,Dangerous,No,5,Health concerns,Cola-Coka,Taste/flavor preference,Wider range of flavors,Sugar,Yes,Not Sure,Online ads,Compact and portable cans,No,50-99,Supermarkets,Sports/exercise
385,103386,120416,2-3 times a month,To stay awake during work/study,To enhance sports performance,Yes,Neutral,Effective,Yes,5,Unfamiliar with the brand,Bepsi,Brand reputation,More natural ingredients,Vitamins,Yes,Yes,Online ads,Compact and portable cans,Yes,100-150,Supermarkets,Studying/working late
386,103387,120417,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Negative,Not sure,No,4,Health concerns,Sky 9,Effectiveness,Reduced sugar content,Vitamins,Yes,No,TV commercials,Compact and portable cans,No,100-150,Online retailers,Sports/exercise
387,103388,120418,Rarely,To stay awake during work/study,Increased energy and focus,No,Neutral,Not sure,Yes,4,Health concerns,Bepsi,Other,Healthier alternatives,Sugar,Yes,Yes,Online ads,Collectible packaging,Yes,100-150,Supermarkets,Sports/exercise
388,103389,120419,Rarely,To stay awake during work/study,Increased energy and focus,No,Negative,Not sure,Yes,3,Not available locally,Cola-Coka,Other,Reduced sugar content,Sugar,No,Not Sure,Online ads,Innovative bottle design,No,50-99,Other,Sports/exercise
389,103390,120420,2-3 times a month,Throughout the day,Increased energy and focus,No,Neutral,Not sure,No,3,Health concerns,Bepsi,Taste/flavor preference,Reduced sugar content,Caffeine,Yes,Yes,TV commercials,Innovative bottle design,No,50-99,Online retailers,Sports/exercise
390,103391,120421,2-3 times a month,Before exercise,To boost performance,No,Negative,Dangerous,No,3,Not available locally,Cola-Coka,Effectiveness,Reduced sugar content,Caffeine,Yes,Yes,Outdoor billboards,Innovative bottle design,Yes,100-150,Supermarkets,Sports/exercise
391,103392,120422,Once a week,Before exercise,Other,No,Positive,Dangerous,Yes,5,Unfamiliar with the brand,CodeX,Brand reputation,Healthier alternatives,Caffeine,Yes,No,Online ads,Compact and portable cans,Yes,Above 150,Local stores,Other
392,103393,120423,2-3 times a month,For mental alertness,Increased energy and focus,No,Neutral,Dangerous,Yes,5,Unfamiliar with the brand,Bepsi,Other,More natural ingredients,Sugar,Yes,No,Outdoor billboards,Eco-friendly design,No,100-150,Gyms and fitness centers,Studying/working late
393,103394,120424,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Positive,Dangerous,No,4,Not available locally,CodeX,Brand reputation,Healthier alternatives,Guarana,No,Not Sure,TV commercials,Collectible packaging,No,100-150,Supermarkets,Studying/working late
394,103395,120425,2-3 times a week,Before exercise,Increased energy and focus,Yes,Neutral,Not sure,Yes,5,Other,Blue Bull,Other,Healthier alternatives,Sugar,Yes,No,Online ads,Compact and portable cans,Yes,Below 50,Online retailers,Studying/working late
395,103396,120426,Rarely,To stay awake during work/study,To boost performance,Yes,Negative,Dangerous,Yes,2,Other,Bepsi,Taste/flavor preference,Healthier alternatives,Vitamins,No,No,Online ads,Eco-friendly design,No,Above 150,Online retailers,Sports/exercise
396,103397,120427,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Negative,Effective,No,3,Unfamiliar with the brand,CodeX,Effectiveness,More natural ingredients,Vitamins,No,No,Print media,Innovative bottle design,Yes,Below 50,Supermarkets,Sports/exercise
397,103398,120428,Once a week,To stay awake during work/study,To combat fatigue,No,Negative,Dangerous,Yes,3,Unfamiliar with the brand,Bepsi,Brand reputation,More natural ingredients,Vitamins,No,No,Online ads,Eco-friendly design,Not Sure,50-99,Other,Sports/exercise
398,103399,120429,Once a week,For mental alertness,Increased energy and focus,No,Neutral,Healthy,No,3,Not available locally,Gangster,Brand reputation,Reduced sugar content,Caffeine,Yes,No,Online ads,Compact and portable cans,No,Below 50,Supermarkets,Studying/working late
399,103400,120430,2-3 times a week,Before exercise,Other,No,Neutral,Effective,No,5,Unfamiliar with the brand,Bepsi,Effectiveness,Reduced sugar content,Caffeine,No,Yes,Other,Innovative bottle design,Yes,100-150,Supermarkets,Sports/exercise
400,103401,120431,Daily,For mental alertness,Increased energy and focus,No,Neutral,Dangerous,Yes,3,Other,Gangster,Other,Reduced sugar content,Guarana,Yes,Not Sure,Print media,Collectible packaging,Yes,Below 50,Other,Sports/exercise
401,103402,120432,Once a week,Throughout the day,To boost performance,Yes,Positive,Not sure,No,2,Other,Cola-Coka,Other,Other,Vitamins,No,Yes,TV commercials,Other,Yes,50-99,Supermarkets,Social outings/parties
402,103403,120433,2-3 times a week,Before exercise,To boost performance,No,Positive,Effective,No,2,Other,Bepsi,Effectiveness,Wider range of flavors,Caffeine,No,Yes,Online ads,Collectible packaging,No,50-99,Supermarkets,Sports/exercise
403,103404,120434,Daily,To stay awake during work/study,Increased energy and focus,No,Neutral,Dangerous,No,3,Not available locally,Cola-Coka,Taste/flavor preference,Reduced sugar content,Vitamins,Yes,No,TV commercials,Collectible packaging,Yes,100-150,Supermarkets,Sports/exercise
404,103405,120435,Rarely,To stay awake during work/study,To boost performance,Yes,Neutral,Effective,Yes,1,Health concerns,Gangster,Other,Healthier alternatives,Caffeine,Yes,Yes,Print media,Other,Yes,100-150,Online retailers,Studying/working late
405,103406,120436,Daily,To stay awake during work/study,Increased energy and focus,No,Neutral,Effective,Yes,3,Other,Blue Bull,Effectiveness,More natural ingredients,Caffeine,Yes,No,Other,Compact and portable cans,Yes,100-150,Supermarkets,Sports/exercise
406,103407,120437,2-3 times a week,For mental alertness,To combat fatigue,Yes,Neutral,Healthy,No,4,Health concerns,Blue Bull,Taste/flavor preference,Wider range of flavors,Caffeine,Yes,No,Online ads,Other,No,100-150,Online retailers,Sports/exercise
407,103408,120438,Daily,To stay awake during work/study,Increased energy and focus,No,Neutral,Dangerous,No,4,Unfamiliar with the brand,Cola-Coka,Taste/flavor preference,Healthier alternatives,Guarana,Yes,No,TV commercials,Collectible packaging,Yes,100-150,Gyms and fitness centers,Sports/exercise
408,103409,120439,Daily,Before exercise,Increased energy and focus,No,Neutral,Effective,Yes,2,Not interested in energy drinks,Gangster,Taste/flavor preference,More natural ingredients,Guarana,Yes,Yes,Online ads,Compact and portable cans,Not Sure,50-99,Supermarkets,Social outings/parties
409,103410,120440,Once a week,To stay awake during work/study,To combat fatigue,No,Positive,Not sure,No,4,Not interested in energy drinks,Gangster,Brand reputation,Healthier alternatives,Caffeine,No,Yes,Online ads,Compact and portable cans,No,Below 50,Other,Sports/exercise
410,103411,120441,Rarely,Throughout the day,Increased energy and focus,Yes,Positive,Not sure,No,2,Not available locally,Sky 9,Effectiveness,Reduced sugar content,Caffeine,Yes,Yes,TV commercials,Compact and portable cans,No,100-150,Supermarkets,Studying/working late
411,103412,120442,2-3 times a week,Before exercise,To combat fatigue,Yes,Positive,Healthy,No,1,Health concerns,Bepsi,Other,Wider range of flavors,Caffeine,Yes,Yes,Online ads,Compact and portable cans,No,Above 150,Online retailers,Studying/working late
412,103413,120443,2-3 times a week,Before exercise,To boost performance,Yes,Neutral,Dangerous,No,3,Other,Bepsi,Availability,Wider range of flavors,Caffeine,Yes,No,TV commercials,Collectible packaging,Not Sure,100-150,Online retailers,Studying/working late
413,103414,120444,Rarely,Before exercise,Increased energy and focus,Yes,Neutral,Effective,No,4,Not available locally,Cola-Coka,Other,Healthier alternatives,Vitamins,No,No,Other,Compact and portable cans,Yes,50-99,Gyms and fitness centers,Social outings/parties
414,103415,120445,2-3 times a week,For mental alertness,To combat fatigue,Yes,Neutral,Dangerous,No,1,Health concerns,Blue Bull,Brand reputation,Wider range of flavors,Caffeine,No,Not Sure,Online ads,Collectible packaging,Not Sure,Below 50,Supermarkets,Studying/working late
415,103416,120446,Rarely,Throughout the day,To combat fatigue,No,Neutral,Dangerous,No,3,Not available locally,Cola-Coka,Availability,Healthier alternatives,Caffeine,No,No,TV commercials,Innovative bottle design,No,50-99,Supermarkets,Studying/working late
416,103417,120447,Rarely,For mental alertness,To enhance sports performance,No,Neutral,Dangerous,Yes,3,Not available locally,CodeX,Other,Reduced sugar content,Caffeine,Yes,Yes,Print media,Collectible packaging,Not Sure,Above 150,Gyms and fitness centers,Studying/working late
417,103418,120448,2-3 times a week,Before exercise,To boost performance,Yes,Neutral,Healthy,No,2,Not available locally,Others,Brand reputation,Healthier alternatives,Caffeine,No,Yes,Online ads,Compact and portable cans,Yes,Above 150,Other,Sports/exercise
418,103419,120449,Once a week,Throughout the day,To boost performance,Yes,Neutral,Dangerous,No,1,Other,Bepsi,Availability,Reduced sugar content,Guarana,Yes,Not Sure,Online ads,Eco-friendly design,Not Sure,50-99,Gyms and fitness centers,Sports/exercise
419,103420,120450,2-3 times a month,Throughout the day,Other,Yes,Negative,Dangerous,No,2,Health concerns,Bepsi,Taste/flavor preference,Wider range of flavors,Vitamins,No,No,Other,Compact and portable cans,Not Sure,50-99,Local stores,Sports/exercise
420,103421,120451,Rarely,Before exercise,Increased energy and focus,No,Neutral,Healthy,Yes,4,Not available locally,Cola-Coka,Availability,Wider range of flavors,Caffeine,No,No,Online ads,Compact and portable cans,No,50-99,Other,Studying/working late
421,103422,120452,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Positive,Dangerous,Yes,2,Health concerns,Cola-Coka,Availability,Wider range of flavors,Sugar,Yes,Yes,Outdoor billboards,Compact and portable cans,Yes,100-150,Other,Studying/working late
422,103423,120453,2-3 times a week,Before exercise,Other,Yes,Negative,Healthy,Yes,2,Unfamiliar with the brand,Gangster,Taste/flavor preference,Other,Vitamins,Yes,Not Sure,TV commercials,Compact and portable cans,Not Sure,50-99,Supermarkets,Studying/working late
423,103424,120454,2-3 times a week,Before exercise,Increased energy and focus,Yes,Positive,Effective,No,3,Not interested in energy drinks,Bepsi,Other,More natural ingredients,Caffeine,No,Yes,Other,Compact and portable cans,No,100-150,Online retailers,Studying/working late
424,103425,120455,2-3 times a week,For mental alertness,To combat fatigue,No,Negative,Dangerous,No,3,Health concerns,Bepsi,Other,Healthier alternatives,Vitamins,Yes,Not Sure,Online ads,Innovative bottle design,Not Sure,100-150,Other,Sports/exercise
425,103426,120456,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Positive,Not sure,No,2,Not interested in energy drinks,Cola-Coka,Brand reputation,Reduced sugar content,Caffeine,Yes,Yes,TV commercials,Innovative bottle design,No,50-99,Online retailers,Social outings/parties
426,103427,120457,Daily,Before exercise,Increased energy and focus,Yes,Positive,Effective,No,3,Health concerns,Blue Bull,Other,More natural ingredients,Guarana,Yes,Yes,Print media,Innovative bottle design,Not Sure,Above 150,Supermarkets,Studying/working late
427,103428,120458,2-3 times a week,For mental alertness,To enhance sports performance,Yes,Neutral,Dangerous,Yes,4,Health concerns,Gangster,Effectiveness,More natural ingredients,Vitamins,No,Not Sure,Outdoor billboards,Other,No,50-99,Local stores,Studying/working late
428,103429,120459,2-3 times a month,To stay awake during work/study,To combat fatigue,Yes,Positive,Dangerous,Yes,3,Not interested in energy drinks,Gangster,Availability,Wider range of flavors,Caffeine,Yes,Yes,TV commercials,Collectible packaging,Not Sure,Above 150,Online retailers,Social outings/parties
429,103430,120460,Rarely,Before exercise,To boost performance,No,Positive,Not sure,No,3,Not interested in energy drinks,Cola-Coka,Effectiveness,Reduced sugar content,Caffeine,No,Yes,Online ads,Compact and portable cans,Yes,Above 150,Local stores,Sports/exercise
430,103431,120461,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Effective,Yes,3,Unfamiliar with the brand,CodeX,Other,Wider range of flavors,Caffeine,Yes,Yes,Other,Compact and portable cans,Yes,100-150,Other,Studying/working late
431,103432,120462,Daily,To stay awake during work/study,To enhance sports performance,Yes,Negative,Dangerous,Yes,2,Not available locally,Cola-Coka,Effectiveness,Healthier alternatives,Vitamins,Yes,No,Print media,Compact and portable cans,Not Sure,Above 150,Supermarkets,Sports/exercise
432,103433,120463,2-3 times a week,For mental alertness,To combat fatigue,No,Neutral,Dangerous,Yes,5,Not available locally,CodeX,Taste/flavor preference,More natural ingredients,Sugar,Yes,Yes,Print media,Compact and portable cans,No,100-150,Supermarkets,Other
433,103434,120464,2-3 times a month,Before exercise,To combat fatigue,Yes,Neutral,Healthy,Yes,3,Not available locally,Cola-Coka,Brand reputation,Reduced sugar content,Caffeine,Yes,Not Sure,Online ads,Compact and portable cans,Yes,100-150,Local stores,Social outings/parties
434,103435,120465,Once a week,Throughout the day,To enhance sports performance,No,Neutral,Dangerous,Yes,4,Health concerns,Sky 9,Taste/flavor preference,Healthier alternatives,Guarana,Yes,Not Sure,TV commercials,Eco-friendly design,No,100-150,Supermarkets,Driving/commuting
435,103436,120466,2-3 times a week,Throughout the day,Other,Yes,Negative,Dangerous,No,3,Not interested in energy drinks,Cola-Coka,Brand reputation,Wider range of flavors,Caffeine,Yes,Yes,Other,Collectible packaging,Yes,100-150,Other,Other
436,103437,120467,Once a week,Throughout the day,To boost performance,No,Positive,Not sure,No,1,Unfamiliar with the brand,Cola-Coka,Effectiveness,Healthier alternatives,Caffeine,Yes,No,TV commercials,Compact and portable cans,Yes,100-150,Local stores,Studying/working late
437,103438,120468,2-3 times a week,For mental alertness,To enhance sports performance,No,Neutral,Dangerous,Yes,3,Other,Gangster,Other,Reduced sugar content,Caffeine,No,Yes,TV commercials,Innovative bottle design,Yes,100-150,Supermarkets,Sports/exercise
438,103439,120469,Rarely,For mental alertness,Increased energy and focus,No,Neutral,Healthy,No,1,Not interested in energy drinks,Bepsi,Availability,Healthier alternatives,Sugar,Yes,No,TV commercials,Collectible packaging,Yes,100-150,Online retailers,Sports/exercise
439,103440,120470,Rarely,Before exercise,To combat fatigue,Yes,Positive,Not sure,No,1,Not available locally,Cola-Coka,Availability,Reduced sugar content,Caffeine,Yes,No,TV commercials,Innovative bottle design,Not Sure,100-150,Supermarkets,Sports/exercise
